Record,Spam,Recipients,Hyperlinks,Characters
1,0,19,1,47
2,0,15,1,58
3,1,13,11,88
4,1,17,11,68
5,0,15,1,87
6,0,17,2,49
7,1,12,10,41
8,0,13,3,66
9,0,12,5,66
10,1,15,9,41
11,1,13,10,45
12,1,13,11,68
13,1,13,11,27
14,1,12,9,88
15,0,16,4,26
16,1,12,12,52
17,1,13,11,70
18,1,12,11,39
19,1,13,11,102
20,1,13,3,65
21,0,12,6,47
22,0,13,2,81
23,1,25,7,79
24,1,18,5,42
25,0,13,0,27
26,1,15,11,25
27,0,14,3,47
28,1,16,11,93
29,1,13,7,93
30,1,13,5,28
31,1,14,11,91
32,1,23,9,58
33,1,14,9,36
34,0,18,3,89
35,1,12,10,97
36,0,18,0,103
37,1,15,11,70
38,1,12,12,28
39,0,16,3,34
40,1,14,8,81
41,0,14,0,66
42,1,13,8,78
43,1,12,10,86
44,0,15,5,77
45,1,15,11,29
46,1,15,9,63
47,0,17,5,50
48,1,13,12,73
49,1,13,9,38
50,0,12,1,80
51,0,13,4,65
52,0,14,7,83
53,1,13,3,102
54,1,14,6,20
55,0,13,4,67
56,1,29,3,21
57,0,12,5,84
58,1,52,1,30
59,1,14,4,97
60,1,14,6,98
61,0,12,4,99
62,1,12,11,47
63,0,14,2,73
64,1,24,1,101
65,1,20,6,42
66,0,12,10,74
67,1,18,6,20
68,1,13,6,32
69,0,13,3,58
70,1,12,7,22
71,0,12,0,88
72,1,12,2,83
73,1,16,10,70
74,0,12,2,64
75,1,16,11,19
76,1,13,9,32
77,0,12,3,24
78,0,14,3,48
79,1,12,5,102
80,1,12,4,67
81,0,12,6,63
82,1,15,11,52
83,0,12,4,54
84,1,18,6,46
85,0,12,2,90
86,1,17,10,68
87,0,14,1,61
88,1,17,4,31
89,1,12,11,24
90,1,41,9,101
91,0,13,2,20
92,1,14,9,93
93,1,18,5,19
94,0,13,6,67
95,0,14,6,71
96,1,13,5,102
97,0,17,1,87
98,0,13,3,64
99,0,13,3,38
100,0,14,4,56
101,0,13,11,69
102,1,17,8,83
103,0,25,2,53
104,0,12,5,69
105,1,12,11,46
106,1,17,10,41
107,0,12,4,29
108,0,12,7,88
109,1,18,7,24
110,1,13,2,29
111,1,12,8,42
112,1,23,5,54
113,0,12,4,73
114,0,13,3,46
115,1,13,7,99
116,1,34,5,29
117,0,12,5,28
118,1,13,11,28
119,1,14,7,24
120,0,14,5,84
121,1,13,1,84
122,1,12,12,88
123,0,12,0,40
124,0,12,1,43
125,1,12,11,57
126,0,13,3,19
127,0,22,5,78
128,0,19,4,32
129,1,14,5,45
130,0,14,4,61
131,0,12,7,68
132,1,13,10,80
133,0,13,2,77
134,0,21,7,64
135,0,13,7,48
136,1,12,7,23
137,1,15,7,28
138,1,14,9,50
139,1,13,7,77
140,1,17,10,60
141,0,12,0,42
142,1,15,7,97
143,0,12,0,39
144,0,12,6,85
145,1,12,6,102
146,0,12,3,22
147,0,12,5,45
148,0,14,1,70
149,1,12,8,64
150,1,12,12,19
151,0,12,5,103
152,1,30,7,90
153,1,13,10,54
154,1,13,7,94
155,0,13,0,69
156,1,12,10,87
157,1,12,10,76
158,1,13,5,23
159,0,12,5,55
160,0,13,7,62
161,0,12,7,70
162,0,14,2,23
