Year,Arizona,Indiana,Massachusetts,Tennessee,Washington
1910,204354,2700876,3366416,2184789,1141990
1920,334162,2930390,3852356,2337885,1356621
1930,435573,3238503,4249614,2616556,1563396
1940,499261,3427796,4316721,2915841,1736191
1950,749587,3934224,4690514,3291718,2378963
1960,1302161,4662498,5148578,3567089,2853214
1970,1770900,5193669,5689170,3923687,3409169
1980,2718215,5490224,5737037,4591120,4132156
1990,3665228,5544159,6016425,4877185,4866692
2000,5130632,6080485,6349097,5689283,5894121
2010,6392017,6483802,6547629,6346105,6724540
2020,7151502,6785528,7029917,6910840,7705281
